"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","16880","0.0-0.0","SS1692912621246","","","","","","","","","","","","","",""
"","survey-text","1","27369","0.0-1.0","SS1692912621246","10483.900000095367","{""Age"":""216"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","36322","0.0-2.0","SS1692912621246","8951.699999809265","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","39932","0.0-3.0","SS1692912621246","3609.7999997138977","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","109562","0.0-4.0","SS1692912621246","69629.39999961853","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","143020","0.0-5.0","SS1692912621246","33457.40000009537","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","161213","0.0-6.0","SS1692912621246","18192.800000190735","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","166938","0.0-7.0","SS1692912621246","5724.299999713898","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","181800","0.0-8.0","SS1692912621246","14861.400000095367","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","281906","0.0-9.0","SS1692912621246","100106.2000002861","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","283281","0.0-10.0","SS1692912621246","1374.1999998092651","","","","[{""page_index"":0,""viewing_time"":1374}]","","","","","","","","",""
"","video-keyboard-response","11","301534","0.0-11.0","SS1692912621246","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","306176","0.0-12.0","SS1692912621246","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","379729","0.0-13.0","SS1692912621246","73552.40000009537","","[""stimuli/images/unity_stims/fam8/background/animate_03_8fam_background_new.mp4""]","39","","trial","39","1","stimuli/images/unity_stims/fam8/background/animate_03_8fam_background_new.mp4","background","3","8","",""
"","html-keyboard-response","14","380338","0.0-14.0","SS1692912621246","608.3999996185303","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","384973","0.0-15.0","SS1692912621246","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","467867","0.0-16.0","SS1692912621246","82892.19999980927","","[""stimuli/images/unity_stims/fam9/animacy/animate_05_9fam_animacy_new.mp4""]","39","","trial","39","2","stimuli/images/unity_stims/fam9/animacy/animate_05_9fam_animacy_new.mp4","animacy","5","9","",""
"","html-keyboard-response","17","469521","0.0-17.0","SS1692912621246","1653.0999999046326","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","474149","0.0-18.0","SS1692912621246","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","533658","0.0-19.0","SS1692912621246","59506.7999997139","","[""stimuli/images/unity_stims/fam9/pose/animate_06_9fam_pose_new.mp4""]","39","","trial","39","3","stimuli/images/unity_stims/fam9/pose/animate_06_9fam_pose_new.mp4","pose","6","9","",""
"","html-keyboard-response","20","534288","0.0-20.0","SS1692912621246","629.4000000953674","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","538916","0.0-21.0","SS1692912621246","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","616516","0.0-22.0","SS1692912621246","77599.09999990463","","[""stimuli/images/unity_stims/fam8/identity/animate_02_8fam_identity_new.mp4""]","39","","trial","39","4","stimuli/images/unity_stims/fam8/identity/animate_02_8fam_identity_new.mp4","identity","2","8","",""
"","video-keyboard-response","23","639631","0.0-23.0","SS1692912621246","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","656905","0.0-24.0","SS1692912621246","17273","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","","","",""
"","survey-multi-choice","25","691919","0.0-25.0","SS1692912621246","35013.40000009537","","","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
